Date,Close_Ratio_1,Trend_1,Close_Ratio_2,Trend_2,Close_Ratio_4,Trend_4,Close_Ratio_12,Trend_12,Close_Ratio_24,Trend_24
2006-09-01,1.0,1.0,1.0299450395388465,1.0,1.013389150929449,2.0,1.0146193172764977,8.0,1.2751174108874437,15.0
2006-10-01,1.0,1.0,1.0848125429611617,2.0,1.1595088609743158,2.0,1.176862506745196,8.0,1.4564363581025517,15.0
2006-11-01,1.0,1.0,1.008759883057089,2.0,1.1134626891292518,3.0,1.1782819898782324,8.0,1.4271255674634504,16.0
2006-12-01,1.0,0.0,0.9742618533336979,1.0,1.01005712396692,3.0,1.1089045412189882,7.0,1.3124151737851941,15.0
2007-01-01,1.0,1.0,1.0426412117805444,1.0,1.0430640661824253,3.0,1.1912302513216895,7.0,1.3792265673279422,15.0
2007-02-01,1.0,0.0,0.9452652723557663,1.0,0.9480867429949807,2.0,1.0495548603898432,7.0,1.2001215144421091,15.0
2007-03-01,1.0,1.0,1.0095966415235151,1.0,0.9802363291056593,2.0,1.0558892133202349,7.0,1.186720147080208,16.0
2007-04-01,1.0,1.0,1.0142220779573856,2.0,1.0026748339310643,3.0,1.0753200831043501,7.0,1.188712565485834,16.0
2007-05-01,1.0,1.0,1.0273705502279704,2.0,1.061132713572846,3.0,1.1092521202539962,8.0,1.2271651953751048,16.0
2007-06-01,1.0,1.0,1.0242894227078523,2.0,1.0721226953011098,4.0,1.1425532597378618,8.0,1.25872070973987,16.0
2007-07-01,1.0,0.0,0.987702090567853,1.0,1.018986060817837,3.0,1.0902851857245812,8.0,1.2013485342195453,16.0
2007-08-01,1.0,1.0,1.0051207146711882,1.0,1.0074002931759054,3.0,1.075317414785946,9.0,1.1870068456171772,17.0
2007-09-01,1.0,1.0,1.0480545470951228,2.0,1.0727394775027088,3.0,1.1507852447843083,9.0,1.2761250148881922,17.0
2007-10-01,1.0,1.0,1.1096549453711482,2.0,1.2298219008791111,3.0,1.3804302461095905,9.0,1.5420590287326346,17.0
2007-11-01,1.0,0.0,0.9899999759320268,1.0,1.116607288791328,3.0,1.308761225555578,8.0,1.4729585155689702,16.0
2007-12-01,1.0,0.0,0.9989021451093353,0.0,1.0403084407065093,2.0,1.260081120097443,8.0,1.4345835249994228,15.0
2008-01-01,1.0,0.0,0.8987242881043426,0.0,0.8499197992517327,1.0,1.0186073788529129,7.0,1.1575562728745716,14.0
2008-02-01,1.0,0.0,0.9100706641784924,0.0,0.7788227592813306,0.0,0.8477471319102087,7.0,0.9576520575758527,14.0
2008-03-01,1.0,0.0,0.9663138241935421,0.0,0.8128889625681539,0.0,0.794601233121579,6.0,0.8914253404797242,13.0
2008-04-01,1.0,1.0,1.131873545934499,1.0,1.120434660054572,1.0,1.0202268994788584,6.0,1.147126910302442,13.0
2008-05-01,1.0,1.0,1.0099216767059989,2.0,1.131030006793624,2.0,1.0273077923029483,6.0,1.149643732207107,14.0
2008-06-01,1.0,0.0,0.9466112568178877,1.0,0.9899857945979148,2.0,0.9226724236815139,5.0,1.024140969909014,13.0
2008-07-01,1.0,0.0,0.947338971005187,0.0,0.8772092419132125,2.0,0.8347760283942371,5.0,0.9152069225754144,13.0
2008-08-01,1.0,0.0,0.9888371762700823,0.0,0.9043069074092523,1.0,0.822621228204051,4.0,0.8889350571263981,13.0
2008-09-01,1.0,0.0,0.927333567053925,0.0,0.8594942109337943,0.0,0.7291572523512105,3.0,0.7685802876015175,12.0
2008-10-01,1.0,0.0,0.945833578772082,0.0,0.8470877027573634,0.0,0.6906497346852404,2.0,0.6961098065843483,11.0
2008-11-01,1.0,0.0,0.8982094197450259,0.0,0.7729152186045356,0.0,0.6015790808887428,2.0,0.5764129999583164,10.0
2008-12-01,1.0,1.0,1.0244584987373322,1.0,0.9045270544809725,1.0,0.6761551038987285,3.0,0.6129966740564831,11.0
2009-01-01,1.0,1.0,1.0477885532597067,2.0,1.0428340618844139,2.0,0.7761156785080858,4.0,0.6837769938330331,11.0
2009-02-01,1.0,0.0,0.999201792630106,1.0,1.058592331629109,2.0,0.7951100356157564,4.0,0.6891508389565125,11.0
2009-03-01,1.0,1.0,1.0146782167400754,1.0,1.0450447540075147,3.0,0.8339063489298376,5.0,0.7163841189606452,11.0
2009-04-01,1.0,1.0,1.0643925682189908,2.0,1.1149765819536475,3.0,0.983715301742746,5.0,0.8202984052910252,11.0
2009-05-01,1.0,1.0,1.0261436311281529,2.0,1.113169916539259,3.0,1.0740133037956268,5.0,0.8704025563226954,11.0
2009-06-01,1.0,1.0,1.0051977787972366,2.0,1.065394703573781,4.0,1.1102021161711195,6.0,0.8872963885490229,11.0
2009-07-01,1.0,1.0,1.0248196091124462,2.0,1.0562390236782293,4.0,1.1746277931875027,7.0,0.9379689661933455,12.0
2009-08-01,1.0,1.0,1.0205808940936836,2.0,1.0591554511986316,4.0,1.2244318118829107,8.0,0.982030173897973,12.0
2009-09-01,1.0,1.0,1.0356964122039203,2.0,1.0884883893485264,4.0,1.2879471700356917,9.0,1.0614543737796356,12.0
2009-10-01,1.0,1.0,1.0390224586769976,2.0,1.1072913176704386,4.0,1.341230499725498,10.0,1.165422344988668,12.0
