Date,Close_Ratio_2,Trend_2,Close_Ratio_6,Trend_6,Close_Ratio_25,Trend_25
2012-11-05,0.9512255199189724,1.0,0.946616247455426,3.0,0.7971086330644297,8.0
2012-11-12,1.101706816200664,2.0,1.1362430429148078,4.0,0.9913488252521737,9.0
2012-11-19,1.0092514831580832,2.0,1.1172317532927625,5.0,1.0162257440450218,10.0
2012-11-26,1.0769230769230769,2.0,1.2183624682256105,5.0,1.183792201983822,10.0
2012-12-03,0.9908091506400171,1.0,1.1498884565382073,4.0,1.1672044830519568,9.0
2012-12-10,0.9874769739460388,0.0,1.0790903547539281,4.0,1.1505252534535704,8.0
2012-12-17,0.9896363436927966,0.0,1.0092236897979645,3.0,1.1363636551222187,8.0
2012-12-24,0.9932911562016891,1.0,0.9810058670920422,3.0,1.1326280834726339,9.0
2012-12-31,1.052130974528854,2.0,1.0571586219274633,3.0,1.261536319368165,10.0
2013-01-07,1.048941784174544,2.0,1.1399820136851322,3.0,1.3841857019412405,11.0
2013-01-14,0.9664385875837693,1.0,1.052270578337387,3.0,1.2809881671991477,11.0
2013-01-21,1.0307189713182765,1.0,1.0885246193725906,4.0,1.3380282139166884,12.0
2013-01-28,0.9704586035618078,1.0,1.0059778793165919,4.0,1.2445162449083689,12.0
2013-02-04,0.9797529112921849,0.0,0.9518781745600899,3.0,1.1764075421580102,12.0
2013-02-11,0.9959556963855088,0.0,0.9465240616143736,2.0,1.1500414137213724,12.0
2013-02-18,0.9785392144523438,0.0,0.9305436257674004,1.0,1.0857211178686137,12.0
2013-02-25,1.011837580180025,1.0,0.9631898575829448,2.0,1.0962904802796303,12.0
2013-03-04,1.0032292500639803,1.0,0.9899097012725314,1.0,1.0931097804358831,11.0
2013-03-11,0.9760117286750577,0.0,0.9609952529038979,1.0,1.0357559182500615,11.0
2013-03-18,0.982436042553757,0.0,0.9438160991724285,1.0,0.9937125264936626,11.0
2013-03-25,0.9970766006608549,1.0,0.9542995798994318,2.0,0.9808432676249156,12.0
2013-04-01,1.0341702754276996,2.0,1.0201750458008179,3.0,1.0377201073647728,13.0
2013-04-08,1.0001825192382343,1.0,1.0229606160094118,2.0,1.0250501243438561,12.0
2013-04-15,0.9685676622873516,0.0,0.9741292248696554,2.0,0.9571460378885295,11.0
2013-04-22,1.0213008908493444,1.0,1.015250843933865,3.0,0.9904533079800696,12.0
2013-04-29,1.026468438878017,1.0,1.0533300171377513,3.0,1.0304737673035924,11.0
2013-05-06,0.9703582620921793,0.0,0.9859571514525637,2.0,0.9667507502752212,10.0
2013-05-13,0.9918760570055442,0.0,0.9769259438704988,1.0,0.9480778470053262,9.0
2013-05-20,0.9616297358672953,0.0,0.9224056002641364,1.0,0.8827160373267992,8.0
2013-05-27,1.0008220492324862,0.0,0.9320574308696546,1.0,0.888219350526802,8.0
2013-06-03,0.9777498019083976,0.0,0.9122005679613316,0.0,0.8539393787624707,8.0
2013-06-10,1.0072463394008186,1.0,0.9546831509399365,1.0,0.8697604321687361,9.0
2013-06-17,1.0186877393839375,2.0,1.0056026476229973,2.0,0.9047254041373446,9.0
2013-06-24,1.007083555458449,1.0,1.0295882143613604,2.0,0.9229171060108453,8.0
2013-07-01,0.9896447041313056,1.0,1.0080662108359888,3.0,0.9139664328213166,8.0
